name,actor_id,gender,character,actor_popularity,movie_id
Simu Liu,1489211.0,2.0,Shaun / Shang-Chi,24.572,566525
Tony Leung Chiu-wai,1337.0,2.0,Xu Wenwu,40.255,566525
Awkwafina,1625558.0,1.0,Katy Chen,42.485,566525
Meng'er Zhang,2979464.0,1.0,Xu Xialing,25.809,566525
Fala Chen,123701.0,1.0,Ying Li,11.653,566525
Michelle Yeoh,1620.0,1.0,Ying Nan,17.248,566525
Yuen Wah,57609.0,2.0,Master Guang Bo,14.563,566525
Ben Kingsley,2282.0,2.0,Trevor Slattery,11.057,566525
Florian Munteanu,1998541.0,2.0,Razor Fist,6.488,566525
Andy Le,1068877.0,0.0,Li Ching-Lin / Death Dealer,0.612,566525
Paul He,3074780.0,0.0,Chancellor Hui,0.6,566525
Jayden Tianyi Zhang,3201062.0,0.0,Young Shang-Chi,0.6,566525
Elodie Fong,3218942.0,0.0,Young Xialing,0.6,566525
Arnold Sun,3216792.0,0.0,Teen Shang-Chi,0.608,566525
Stephanie Hsu,1381186.0,1.0,Soo,0.626,566525
Kunal Dudheker,2422160.0,2.0,John,0.613,566525
Tsai Chin,10075.0,1.0,Waipo,3.38,566525
Jodi Long,44059.0,1.0,Mrs. Chen,3.371,566525
Dallas Liu,1792920.0,2.0,Ruihua,0.6,566525
Ronny Chieng,1319469.0,2.0,Jon Jon,3.691,566525
Daniel Liu,20479.0,0.0,BMW Driver,0.6,566525
Stella Ye,2344691.0,1.0,Yuchen,0.652,566525
Fernando Chien,216782.0,2.0,Gao Lei,7.437,566525
Michael-Anthony Taylor,1535058.0,2.0,Bus Driver,1.349,566525
Zach Cherry,1838225.0,2.0,Clev,6.718,566525
Raymond Ma,165214.0,2.0,Gang Leader,1.201,566525
Lau Ga-Yung,62421.0,2.0,Wenwu's Captain,0.6,566525
Johnny Carr,1691275.0,2.0,Wenwu's Driver,0.648,566525
Harmonie He,2651594.0,0.0,Teen Xialing,0.6,566525
Lydia Sarks,1920116.0,1.0,Flight Attendant,1.06,566525
Dee Bradley Baker,23680.0,2.0,Morris (voice),3.682,566525
Benedict Wong,30082.0,2.0,Wong,20.752,566525
Tim Roth,3129.0,2.0,Emil Blonsky / Abomination (voice) (uncredited),14.747,566525
Mark Ruffalo,103.0,2.0,Bruce Banner / Hulk (uncredited),8.036,566525
Brie Larson,60073.0,1.0,Carol Danvers / Captain Marvel (uncredited),12.507,566525
David Chea,3114744.0,0.0,Bus Goon (uncredited),0.6,566525
Bingchen Ye,2535732.0,2.0,Archer Warrior / Assassin (uncredited),0.6,566525
Jade Xu,1102421.0,1.0,Widow/Helen (uncredited),0.6,566525
Daniel Craig,8784.0,2.0,James Bond,35.342,370172
Rami Malek,17838.0,2.0,Lyutsifer Safin,17.081,370172
Léa Seydoux,121529.0,1.0,Dr. Madeleine Swann,31.798,370172
Ralph Fiennes,5469.0,2.0,M,14.63,370172
Ben Whishaw,17064.0,2.0,Q,10.983,370172
Lashana Lynch,1360281.0,1.0,Nomi,5.758,370172
Naomie Harris,2038.0,1.0,Eve Moneypenny,10.583,370172
Jeffrey Wright,2954.0,2.0,Felix Leiter,15.117,370172
Christoph Waltz,27319.0,2.0,Ernst Stavro Blofeld,10.798,370172
Billy Magnussen,141034.0,2.0,Logan Ash,6.229,370172
Ana de Armas,224513.0,1.0,Paloma,34.303,370172
David Dencik,93236.0,2.0,Valdo Obruchev,9.427,370172
Rory Kinnear,139549.0,2.0,Bill Tanner,3.179,370172
Dali Benssalah,1940747.0,2.0,Primo (Cyclops),2.347,370172
Brigitte Millar,1093974.0,1.0,Vogel,0.833,370172
Coco Sumner,1586573.0,1.0,Bodyguard,0.84,370172
Amor Evans,3036201.0,1.0,Cuban Waitress,0.84,370172
Michael Herne,2063504.0,2.0,Spectre Guest,0.6,370172
Lourdes Faberes,1297438.0,1.0,Spectre Agent,0.865,370172
Gordon Alexander,563560.0,2.0,Lab Technician,2.646,370172
Lisa-Dorah Sonnet,3226897.0,0.0,Mathilde,0.694,370172
Maya Khosrowshahi,3226898.0,0.0,,0.6,370172
Hugh Dennis,151344.0,2.0,Dr. Hardy,1.96,370172
Priyanga Burford,62968.0,0.0,Dr. Symes,2.536,370172
Nicola Olivieri,3257949.0,0.0,Cemetery Caretaker,0.6,370172
Pio Amato,1456989.0,2.0,Cemetery Attendant,0.972,370172
Andrei Nova,1654741.0,2.0,Bunker Guard,1.328,370172
Coline Defaud,3258488.0,0.0,Young Madeleine,0.6,370172
Mathilde Bourbin,2612315.0,0.0,Madeleine's Mother,0.828,370172
Gediminas Adomaitis,1129783.0,2.0,Blofeld's Right Hand Man,0.828,370172
Amy Morgan,1639205.0,1.0,Alison Smith,0.972,370172
Lizzie Winkler,1186242.0,0.0,Sarah Jones,0.84,370172
Andy Cheung,1599251.0,2.0,Chinese Businessman,0.972,370172
Hayden Phillips,1089522.0,0.0,Sir Sebastian D'ath,0.6,370172
Joe Grossi,1935874.0,0.0,Hotel Porter,0.84,370172
Javone Prince,1333631.0,0.0,MI6 Security Guard,0.927,370172
Rae Lim,1988194.0,0.0,Spectre Agent,0.6,370172
Steve Barnett,2341042.0,2.0,Spectre Agent,1.932,370172
Tuncay Gunes,2704670.0,2.0,Spectre Agent,0.6,370172
Clem So,1394361.0,0.0,Spectre Agent,0.84,370172
Denis Khoroshko,1347131.0,0.0,Spectre Agent,0.84,370172
Philip Philmar,1518112.0,2.0,Spectre Agent,1.932,370172
Raymond Waring,584994.0,2.0,Spectre Agent,0.828,370172
Eliot Sumner,3258492.0,0.0,Spectre Guard,0.6,370172
Rod Hunt,234919.0,2.0,Spectre Guard,0.828,370172
Ahmed Bakare,2433114.0,0.0,Spectre VIP Guest,0.828,370172
Douglas Bunn,2544500.0,0.0,Spectre Member,0.6,370172
Toby Sauerback,1363058.0,2.0,Guard,0.6,370172
Julian Ferro,1416734.0,0.0,MI6 Security Guard,0.84,370172
David Olawale Ayinde,1504807.0,0.0,Spectre Party Guest,0.605,370172
Zoltan Rencsar,2807164.0,0.0,Spectre Bodyguard,0.84,370172
Ross Donnelly,3144894.0,0.0,Hotel Guest,0.828,370172
John Farrer,93752.0,2.0,Card Player,0.694,370172
Paul O'Kelly,1841458.0,2.0,Safin Henchman,0.6,370172
Michael G. Wilson,69678.0,2.0,Spectre Party Guest,4.342,370172
Tom Hardy,2524.0,2.0,Eddie Brock / Venom,46.946,580489
Woody Harrelson,57755.0,2.0,Cletus Kasady / Carnage,17.411,580489
Michelle Williams,1812.0,1.0,Anne Weying,12.212,580489
Naomie Harris,2038.0,1.0,Frances Louise Barrison / Shriek,10.583,580489
Reid Scott,81316.0,2.0,Dr. Dan Lewis,3.838,580489
Stephen Graham,1115.0,2.0,Detective Mulligan,7.731,580489
Peggy Lu,2141479.0,1.0,Mrs. Chen,1.845,580489
