name,director_id,gender,director_popularity,movie_id
Destin Daniel Cretton,1144604.0,2.0,5.834,566525
Cary Joji Fukunaga,87257.0,2.0,5.507,370172
Andy Serkis,1333.0,2.0,11.556,580489
Miguel Sapochnik,114404.0,2.0,2.812,522402
Rawson Marshall Thurber,57633.0,2.0,6.96,512195
Walt Becker,68573.0,2.0,1.7,585245
Edward Drake,2613318.0,2.0,1.58,763164
Izu Ojukwu,1668693.0,2.0,1.96,885110
Chloé Zhao,1395183.0,1.0,2.647,524434
Castille Landon,1448492.0,1.0,2.01,744275
Matthias Schweighöfer,16808.0,2.0,11.536,796499
Jeymes Samuel,1059578.0,2.0,1.96,618162
Denis Villeneuve,137427.0,2.0,10.315,438631
Jon Watts,1293994.0,2.0,4.701,634649
Shawn Levy,17825.0,2.0,16.002,550988
Takayuki Hamana,1250035.0,2.0,1.96,843241
Ruben Fleischer,91268.0,2.0,3.063,335983
Andres Beltran,1614750.0,2.0,1.411,775943
Marc Webb,87742.0,2.0,1.564,1930
Robert Schwentke,57270.0,2.0,2.625,568620
Navot Papushado,529184.0,2.0,1.4,574060
Jaume Balagueró,54525.0,2.0,0.736,630004
Yoav Paz,507840.0,2.0,1.4,714968
Doron Paz,507842.0,2.0,1.4,714968
Jon Watts,1293994.0,2.0,4.701,429617
Sam Fichtner,3156196.0,0.0,0.6,849938
Kirk Caouette,172874.0,2.0,0.652,768449
Jon Watts,1293994.0,2.0,4.701,315635
Bartosz M. Kowalski,1673501.0,0.0,1.4,871964
Conrad Vernon,12080.0,2.0,5.237,639721
Greg Tiernan,142587.0,2.0,1.813,639721
Haruo Sotozaki,1283010.0,2.0,4.478,635302
Dan Mazer,6733.0,2.0,1.412,654974
Dmitriy Dyachenko,115122.0,2.0,1.384,589754
Sung Jin Ahn,1612783.0,2.0,0.98,703771
Tom McGrath,18864.0,2.0,1.912,459151
David Gordon Green,64141.0,2.0,2.082,610253
Alexandre Bustillo,81044.0,2.0,1.274,672582
Julien Maury,81045.0,2.0,1.4,672582
Justin Lin,58189.0,2.0,7.489,385128
Enrico Casarosa,930567.0,2.0,1.96,508943
James Gunn,15218.0,2.0,4.748,436969
Jaume Collet-Serra,59521.0,2.0,1.324,451048
Sam Raimi,7623.0,2.0,3.627,557
Philippe Martinez,40282.0,2.0,1.048,762469
Mick Davis,59248.0,2.0,0.98,762469
Sam Raimi,7623.0,2.0,3.627,559
Cate Shortland,93286.0,1.0,2.857,497698
Piotr Mularuk,580800.0,0.0,0.615,846167
Cal Brunker,1098477.0,0.0,1.571,675445
Marc Webb,87742.0,2.0,1.564,102382
Martin Campbell,10702.0,2.0,2.303,645788
Steven Lawson,2114488.0,0.0,0.6,820511
Andrew Baird,2119504.0,2.0,0.98,675319
Byron Howard,76595.0,2.0,2.422,568124
Jared Bush,1318201.0,2.0,1.96,568124
Craig Gillespie,50767.0,2.0,2.583,337404
Malcolm D. Lee,72024.0,2.0,1.654,379686
Simon McQuoid,1828590.0,2.0,0.6,460465
Scott Jeffrey,1698684.0,0.0,2.586,839436
Alejandro Lozano,76817.0,2.0,0.6,772436
Tommy Wirkola,76927.0,2.0,2.661,760747
McKenna Jean Harris,3242711.0,0.0,0.6,876716
Qing Guo,3190496.0,0.0,0.6,859041
William Brent Bell,62768.0,2.0,1.397,760195
Matt Peters,1637776.0,2.0,0.84,831405
Vinicius Videla,3251415.0,0.0,0.6,879163
Salvador Simó,1078616.0,2.0,0.828,805411
Adam Wingard,98631.0,2.0,1.091,399566
Guy Ritchie,956.0,2.0,7.747,637649
Rodney Rothman,59918.0,2.0,1.149,324857
Peter Ramsey,151007.0,2.0,1.094,324857
Bob Persichetti,936670.0,2.0,0.839,324857
Cédric Jimenez,1002647.0,2.0,0.84,637534
Alan Taylor,47005.0,2.0,2.259,524369
Zack Snyder,15217.0,2.0,8.81,791373
Chris McKay,144816.0,2.0,1.006,588228
Thomas Astruc,1565301.0,2.0,0.739,726684
Edward Drake,2613318.0,2.0,1.58,681887
Antoine Fuqua,20907.0,2.0,1.503,581726
Joel Crawford,1450348.0,0.0,1.008,529203
Anthony Russo,19271.0,2.0,4.608,299536
Joe Russo,19272.0,2.0,4.762,299536
Türkan Derya,1577606.0,0.0,0.6,874948
Aaron Fjellman,2930485.0,0.0,1.38,777620
Caroline Vigneaux,1364908.0,1.0,1.4,809065
