movie_id,title,genre_ids,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating
580489,Venom: Let There Be Carnage,"[878, 28, 12]",2021-09-30,13071.277,7.2,3726,110000000,454000000,PG-13
566525,Shang-Chi and the Legend of the Ten Rings,"[28, 12, 14]",2021-09-01,3517.554,7.9,3848,150000000,430238384,PG-13
370172,No Time to Die,"[12, 28, 53]",2021-09-29,1938.906,7.6,2283,242000000,758000000,PG-13
524434,Eternals,"[28, 12, 878, 18]",2021-11-03,1339.598,7.1,1293,200000000,368000000,PG-13
550988,Free Guy,"[35, 28, 12, 878]",2021-08-11,1246.828,7.8,3909,110000000,331096766,PG-13
438631,Dune,"[878, 12]",2021-09-15,1089.532,8.0,4432,165000000,368077000,PG-13
1930,The Amazing Spider-Man,"[28, 12, 14]",2012-06-23,965.179,6.6,13666,215000000,757930663,PG-13
744275,After We Fell,"[10749, 18]",2021-09-01,960.017,7.2,1055,14000000,19000000,R
315635,Spider-Man: Homecoming,"[28, 12, 878, 18]",2017-07-05,890.363,7.4,17230,175000000,880166924,PG-13
429617,Spider-Man: Far From Home,"[28, 12, 878]",2019-06-28,814.314,7.5,11081,160000000,1131927996,PG-13
576845,Last Night in Soho,"[27, 9648, 53]",2021-10-21,772.004,7.5,615,43000000,19000000,R
557,Spider-Man,"[14, 28]",2002-05-01,740.753,7.2,14475,139000000,821708551,PG-13
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"[16, 28, 12, 14]",2020-10-16,718.817,8.4,1891,15800000,503063688,R
508943,Luca,"[16, 35, 10751, 14]",2021-06-17,571.587,8.0,5197,200000000,49010641,PG
559,Spider-Man 3,"[14, 28, 12]",2007-05-01,622.353,6.3,10615,258000000,890871626,PG-13
459151,The Boss Baby: Family Business,"[16, 35, 12, 10751]",2021-07-01,617.627,7.7,1629,82000000,128000000,PG
568620,Snake Eyes: G.I. Joe Origins,"[28, 12]",2021-07-22,613.003,6.8,854,88000000,36964325,PG-13
637649,Wrath of Man,"[28, 80, 53]",2021-04-22,607.704,7.8,2727,40000000,103966489,R
102382,The Amazing Spider-Man 2,"[28, 12, 14]",2014-04-16,585.797,6.4,9972,200000000,708962323,PG-13
451048,Jungle Cruise,"[12, 14, 35, 28]",2021-07-28,580.277,7.7,3432,200000000,217000000,PG-13
385128,F9,"[28, 80, 53]",2021-05-19,548.422,7.4,4466,200000000,721077945,PG-13
436969,The Suicide Squad,"[28, 12, 14]",2021-07-28,546.505,7.8,4886,180000000,167381210,R
574060,Gunpowder Milkshake,"[28, 53, 80]",2021-07-14,539.474,6.5,394,30000000,344931,R
497698,Black Widow,"[28, 12, 878]",2021-07-07,491.522,7.6,6134,200000000,378328978,PG-13
460458,Resident Evil: Welcome to Raccoon City,"[27, 28, 878]",2021-11-24,449.28,6.0,77,40000000,5500000,R
610253,Halloween Kills,"[27, 53]",2021-10-14,434.457,6.9,1290,20000000,127000000,R
379686,Space Jam: A New Legacy,"[16, 10751, 35, 878]",2021-07-08,430.439,7.2,2636,161900000,148810604,PG
335983,Venom,"[878, 28]",2018-09-28,422.39,6.9,12368,116000000,855013954,PG-13
460465,Mortal Kombat,"[28, 14, 12]",2021-04-07,413.809,7.3,4089,20000000,83601013,R
337404,Cruella,"[35, 80]",2021-05-26,409.629,8.2,6049,200000000,233274812,PG-13
299536,Avengers: Infinity War,"[12, 28, 878]",2018-04-25,402.283,8.3,23207,300000000,2046239637,PG-13
425909,Ghostbusters: Afterlife,"[35, 14, 12, 878]",2021-11-11,394.382,7.5,197,75000000,115000000,PG-13
399566,Godzilla vs. Kong,"[28, 14, 878]",2021-03-24,375.485,7.9,7274,200000000,467863133,PG-13
