,name,actor_id,gender,character,actor_popularity,movie_id
0,Simu Liu,1489211.0,2.0,Shaun / Shang-Chi,31.712,566525
1,Tony Leung Chiu-wai,1337.0,2.0,Xu Wenwu,48.554,566525
2,Awkwafina,1625558.0,1.0,Katy Chen,41.972,566525
3,Meng'er Zhang,2979464.0,1.0,Xu Xialing,20.931,566525
4,Fala Chen,123701.0,1.0,Ying Li,10.698,566525
5,Michelle Yeoh,1620.0,1.0,Ying Nan,18.509,566525
6,Yuen Wah,57609.0,2.0,Master Guang Bo,17.429,566525
7,Ben Kingsley,2282.0,2.0,Trevor Slattery,14.121,566525
8,Benedict Wong,30082.0,2.0,Wong,23.568,566525
9,Tim Roth,3129.0,2.0,Emil Blonsky / Abomination (voice) (uncredited),15.532,566525
10,Brie Larson,60073.0,1.0,Carol Danvers / Captain Marvel (uncredited),16.56,566525
11,Daniel Craig,8784.0,2.0,James Bond,33.684,370172
12,Rami Malek,17838.0,2.0,Lyutsifer Safin,21.381,370172
13,Léa Seydoux,121529.0,1.0,Dr. Madeleine Swann,33.118,370172
14,Ralph Fiennes,5469.0,2.0,M,11.938,370172
15,Naomie Harris,2038.0,1.0,Eve Moneypenny,16.701,370172
16,Jeffrey Wright,2954.0,2.0,Felix Leiter,14.556,370172
17,Ana de Armas,224513.0,1.0,Paloma,52.55,370172
18,Tom Hardy,2524.0,2.0,Eddie Brock / Venom,44.085,580489
19,Woody Harrelson,57755.0,2.0,Cletus Kasady / Carnage,26.635,580489
20,Michelle Williams,1812.0,1.0,Anne Weying,10.654,580489
21,Naomie Harris,2038.0,1.0,Frances Louise Barrison / Shriek,16.701,580489
22,J.K. Simmons,18999.0,2.0,J. Jonah Jameson (archive footage) (uncredited),13.065,580489
23,Tom Holland,1136406.0,2.0,Peter Parker / Spider-Man (archive footage) (uncredited),58.2,580489
24,Tom Hanks,31.0,2.0,Finch,25.794,522402
25,Bruce Willis,62.0,2.0,James Malone,16.623,763164
26,Lochlyn Munro,58058.0,2.0,Lyle,11.604,763164
27,Josephine Langford,1753914.0,1.0,Tessa Young,18.476,744275
28,Hero Fiennes Tiffin,1114487.0,2.0,Hardin Scott,10.69,744275
29,Kiana Madeira,142115.0,1.0,Nora,13.258,744275
30,Gemma Chan,97576.0,1.0,Sersi,28.623,524434
31,Richard Madden,512991.0,2.0,Ikaris,19.056,524434
32,Angelina Jolie,11701.0,1.0,Thena,22.589,524434
33,Barry Keoghan,1290466.0,2.0,Druig,12.948,524434
34,Lia McHugh,1791619.0,1.0,Sprite,16.642,524434
35,Salma Hayek,3136.0,1.0,Ajak,12.957,524434
36,Bill Skarsgård,137905.0,2.0,Kro (voice),16.852,524434
37,Timothée Chalamet,1190668.0,2.0,Paul Atreides,20.649,438631
38,Rebecca Ferguson,933238.0,1.0,Lady Jessica Atreides,34.619,438631
39,Oscar Isaac,25072.0,2.0,Duke Leto Atreides,19.42,438631
40,Josh Brolin,16851.0,2.0,Gurney Halleck,10.728,438631
41,Stellan Skarsgård,1640.0,2.0,Baron Vladimir Harkonnen,11.848,438631
42,Dave Bautista,543530.0,2.0,Beast Rabban Harkonnen,14.727,438631
