movie_id,director_popularity
580489,11.123
566525,1.83
370172,3.413
524434,2.558
550988,5.383
438631,6.751
1930,3.293
744275,1.845
315635,4.043
429617,4.043
576845,6.802
557,5.376
635302,5.508
508943,0.998
559,5.376
459151,2.115
568620,0.675
637649,6.89
102382,3.293
451048,2.293
385128,4.07
436969,4.642
574060,0.98
497698,1.321
460458,2.754
610253,2.778
379686,2.083
335983,2.07
460465,1.4
337404,1.857
299536,2.9585
425909,3.257
399566,1.598
324857,1.0856666666666666
529203,0.828
791373,9.926
19995,6.016
299534,2.9585
631843,6.354
525660,0.601
527774,2.4435
644495,13.93
617653,13.93
423108,1.616
24428,3.668
671,3.806
317442,0.6
13811,1.4
464052,2.375
458576,3.076
602223,0.986
672,3.806
587807,1.231
632357,2.607
482373,1.566
505262,1.514
674,1.846
12444,3.66
634528,1.38
673,2.699
12445,3.66
400160,1.753
508442,6.765
767,3.66
8960,3.378
520763,8.899
675,3.66
354912,2.547
10138,10.681
8871,4.299
303857,0.656
637693,0.632
615457,1.033
198663,1.91
619778,3.427
24021,0.997
360920,1.6520000000000001
106646,12.473
99861,3.668
324786,10.471
293660,2.743
522478,0.6
558,5.376
15092,1.464
22832,1.139
10195,6.242
22894,0.728
330457,2.863
590706,0.6
271110,2.9585
335797,2.227
337401,1.279
284052,1.822
32657,3.806
862,3.974
384018,3.308
18785,3.138
284053,10.03
1865,1.96
808,1.9045
772,3.806
13475,6.737
98566,1.464
800497,0.6
156022,2.853
214756,3.979
333339,12.777
39254,5.383
43074,1.851
4564,0.94
585,6.765
393345,2.391
14161,2.212
216015,0.6
11932,2.715
193893,0.6
863,3.974
475557,3.138
22803,3.074
240832,4.218
177572,2.777
8587,1.89
383498,3.308
68721,2.104
122917,4.908
16996,3.5
458156,3.112
337167,1.052
72545,1.4
43347,2.894
72190,1.22
454626,0.6
9820,1.625
10196,6.354
301528,1.696
585216,1.551
228150,5.164
68726,7.468
72331,1.565
109445,2.863
809,2.594666666666667
10585,1.365
257344,3.806
24418,1.4
38575,1.76
138843,3.427
474350,1.277
254128,1.4
425,1.725
76338,1.4
14869,1.301
1726,10.681
398818,2.36
34851,1.4
284054,2.856
11249,2.391
27205,7.796
119450,3.619
27578,16.073
7445,0.84
26123,1.418
35,13.369
44571,1.129
75780,3.108
10358,2.448
400155,3.381
50546,3.202
420818,10.681
299537,0.8820000000000001
23168,17.814
534,2.274
49529,5.519
38365,3.202
324552,3.112
565028,0.98
14836,0.6
44943,1.464
337339,3.074
260346,1.533
577922,7.796
91314,3.812
578701,122.79
296096,0.6
70981,13.93
259693,3.427
16869,6.853
5255,3.087
495764,1.318
643586,0.6
581392,2.776
49530,3.117
72105,3.979
2978,1.778
9806,4.596
50620,1.585
341174,1.052
120,4.908
260513,4.596
49051,4.908
18240,1.4
49519,1.574
1771,3.139
10674,0.6
18823,2.367
294254,1.91
9637,1.788
51876,1.722
10193,2.547
59440,0.748
11322,4.645
17654,2.091
404368,1.6844999999999999
285,1.994
283995,4.642
13448,4.299
20533,0.75
58,1.994
198184,2.091
620,1.778
82690,1.714
48138,2.293
12429,4.591
45243,3.138
131631,1.896
22,1.994
420809,2.108
512200,1.502
602269,4.293
343611,2.894
157336,7.796
10144,1.3359999999999999
109418,3.202
396535,2.776
55846,0.6
121,4.908
42194,2.241
533642,0.711
8355,2.4
260514,0.633
9479,0.6
27576,3.635
8966,0.714
9487,3.974
597,6.016
11699,2.553
209112,9.926
12,5.519
9023,0.7595000000000001
11224,1.2523333333333333
411,2.589
109439,3.138
10895,1.5470000000000002
135397,2.232
644083,1.048
28510,1.4
87101,1.4
336843,1.91
76492,3.381
74513,0.6
9543,1.846
50619,1.585
57165,1.464
20526,1.528
307081,2.853
531499,5.164
49026,7.796
44912,2.454
17979,3.087
603,9.673
439079,1.543
37724,3.055
136797,0.84
38757,2.158
71676,1.464
57158,4.908
291870,2.601
45610,1.22
268896,1.041
168259,3.427
8920,0.71
11186,0.6
38700,0.655
270946,1.8825
305470,0.98
126889,13.93
287947,1.473
10567,0.6
41630,1.778
49013,3.974
76757,9.673
335988,3.812
166426,2.034
37430,0.996
23629,9.926
122,4.908
408,1.38
167032,2.391
52520,0.6
23047,1.261
46528,0.6
810,1.788
41154,2.088
340102,1.183
11688,0.84
117251,2.212
14160,6.765
333484,2.853
11187,1.739
75174,1.638
9502,1.3809999999999998
297762,2.375
150540,6.765
950,2.4
259316,3.66
10201,2.233
190859,15.982
10020,1.8
16995,0.6
269149,2.5235000000000003
34544,1.638
102899,2.233
75656,2.367
503314,0.766
39513,1.013
10192,3.067
363088,2.233
420817,6.89
4247,1.4
424694,2.636
76341,3.142
273481,6.751
62211,0.797
6499,1.2045
8363,1.013
42684,1.061
17134,1.366
19908,2.07
62177,1.4485000000000001
412117,1.798
81188,0.704
105864,1.4
102651,0.746
249070,0.694
4258,2.083
82675,1.533
749274,15.982
206647,3.055
139038,0.6
48340,0.6
245891,3.112
225886,1.502
559907,1.266
953,2.0460000000000003
34813,2.032
3170,1.38
18239,2.1
424783,1.4
522931,1.336
37135,1.6515
46195,2.4
496243,5.124
159824,3.381
60304,0.6
522627,6.89
76726,0.6
51608,1.214
136418,4.801
262500,0.675
228326,0.6
11836,1.408
20048,0.84
93456,1.9105
181812,6.737
138103,1.336
345940,1.885
246655,2.636
11970,1.3359999999999999
58857,1.952
134374,3.812
232672,1.4
345938,0.6
521029,2.754
364689,2.4
14405,1.788
38055,2.115
615,10.471
140607,6.737
9325,1.03
281338,3.619
316727,3.839
223702,2.8775000000000004
47964,1.191
37834,2.135
169917,2.642
286217,13.93
181808,2.66
10009,0.6
10191,1.838
373571,1.273
150689,6.242
346910,2.104
11674,1.437
131634,1.896
11544,1.838
10588,1.43
12244,0.6
19840,3.806
447332,8.899
81796,0.6
19994,1.052
57800,0.657
82702,1.128
351819,0.6
137113,2.309
400928,3.293
10681,5.519
124905,1.435
339846,1.176
12230,1.3156666666666668
27581,3.884
339984,0.652
812,1.3359999999999999
11360,1.885
129,4.591
20662,13.93
335984,6.751
522938,1.96
49849,10.681
324852,1.4315
9769,1.38
14306,1.4
287590,0.6
273477,0.779
141052,9.926
10202,1.8
64635,3.312
