movie_id,title,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating,studios,genres
580489,Venom: Let There Be Carnage,2021-09-30,13071.277,7.2,3726,110000000,454000000,PG-13,"['Marvel Entertainment', ' Pascal Pictures', ' Columbia Pictures', ' Sony Pictures', ' Tencent Pictures']","['Science Fiction', 'Action', 'Adventure']"
566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,3517.554,7.9,3848,150000000,430238384,PG-13,['Marvel Studios'],"['Action', 'Adventure', 'Fantasy']"
370172,No Time to Die,2021-09-29,1938.906,7.6,2283,242000000,758000000,PG-13,"['Eon Productions', ' Metro-Goldwyn-Mayer', ' United Artists', ' Universal Pictures']","['Adventure', 'Action', 'Thriller']"
524434,Eternals,2021-11-03,1339.598,7.1,1293,200000000,368000000,PG-13,['Marvel Studios'],"['Action', 'Adventure', 'Science Fiction', 'Drama']"
550988,Free Guy,2021-08-11,1246.828,7.8,3909,110000000,331096766,PG-13,"['Other', ' 21 Laps Entertainment', ' Other', ' Other']","['Comedy', 'Action', 'Adventure', 'Science Fiction']"
438631,Dune,2021-09-15,1089.532,8.0,4432,165000000,368077000,PG-13,['Legendary Pictures'],"['Science Fiction', 'Adventure']"
1930,The Amazing Spider-Man,2012-06-23,965.179,6.6,13666,215000000,757930663,PG-13,"['Marvel Entertainment', ' Laura Ziskin Productions', ' Sony Pictures', ' Columbia Pictures']","['Action', 'Adventure', 'Fantasy']"
744275,After We Fell,2021-09-01,960.017,7.2,1055,14000000,19000000,R,"['Voltage Pictures', ' Other', ' Other', ' Other', ' Other']","['Romance', 'Drama']"
315635,Spider-Man: Homecoming,2017-07-05,890.363,7.4,17230,175000000,880166924,PG-13,"['Marvel Studios', ' Columbia Pictures', ' Pascal Pictures', ' LStar Capital', ' Sony Pictures']","['Action', 'Adventure', 'Science Fiction', 'Drama']"
429617,Spider-Man: Far From Home,2019-06-28,814.314,7.5,11081,160000000,1131927996,PG-13,"['Marvel Studios', ' Columbia Pictures', ' Pascal Pictures']","['Action', 'Adventure', 'Science Fiction']"
576845,Last Night in Soho,2021-10-21,772.004,7.5,615,43000000,19000000,R,"['Focus Features', ' Film4 Productions', ' Working Title Films', ' Big Talk Productions', ' Other', ' Perfect World Pictures']","['Horror', 'Mystery', 'Thriller']"
