movie_id,studio_list
566525,['Marvel Studios']
580489,"['Marvel Entertainment', ' Pascal Pictures', ' Columbia Pictures', ' Sony Pictures', ' Other']"
370172,"['Other', ' Metro-Goldwyn-Mayer', ' Other', ' Universal Pictures']"
524434,['Marvel Studios']
744275,"['Other', ' Other', ' Other', ' Other', ' Other']"
438631,['Other']
550988,"['Other', ' Other', ' Other', ' Other']"
1930,"['Marvel Entertainment', ' Other', ' Sony Pictures', ' Columbia Pictures']"
335983,"['Other', ' Other', ' Pascal Pictures', ' Marvel Entertainment', ' Other']"
568620,"['Other', ' Metro-Goldwyn-Mayer', ' Other', ' Other', ' Other', ' Other']"
102382,"['Marvel Entertainment', ' Columbia Pictures', ' Other', ' Other', ' Sony Pictures']"
635302,"['Other', ' Other', ' Other', ' Other']"
459151,"['Other', ' Universal Pictures']"
574060,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
576845,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
429617,"['Marvel Studios', ' Columbia Pictures', ' Pascal Pictures']"
508943,"['Other', ' Walt Disney Pictures']"
451048,"['Walt Disney Pictures', ' Other', ' Other', ' Other', ' Other', ' Other']"
385128,"['Other', ' Other', ' Other', ' Other']"
610253,"['Universal Pictures', ' Other', ' Other', ' Other', ' Other', ' Other']"
436969,"['Other', ' Other', ' Other', ' Other', ' Other']"
497698,['Marvel Studios']
315635,"['Marvel Studios', ' Columbia Pictures', ' Pascal Pictures', ' Other', ' Sony Pictures']"
559,"['Columbia Pictures', ' Other', ' Marvel Studios']"
379686,"['Other', ' Other', ' Other']"
425909,"['Columbia Pictures', ' Other', ' Other', ' Other']"
337404,['Walt Disney Pictures']
557,"['Other', ' Columbia Pictures', ' Sony Pictures', ' Other', ' Marvel Entertainment']"
460465,"['Other', ' Other', ' New Line Cinema']"
529203,"['Universal Pictures', ' Other']"
637649,"['Other', ' Metro-Goldwyn-Mayer', ' Other', ' Other', ' Other']"
299536,['Marvel Studios']
399566,"['Warner Bros. Pictures', ' Other']"
791373,"['Warner Bros. Pictures', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
631843,"['Universal Pictures', ' Other', ' Other']"
525660,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
19995,"['Other', ' Other', ' Other', ' Other']"
527774,"['Walt Disney Pictures', ' Other']"
324857,"['Sony Pictures', ' Columbia Pictures', ' Marvel Entertainment', ' Other', ' Other', ' Pascal Pictures', ' Other']"
464052,"['Other', ' Warner Bros. Pictures', ' Other', ' Other', ' Other', ' Other']"
13811,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
482373,"['Other', ' Other', ' Other', ' Sony Pictures', ' Other', ' Other']"
671,"['Warner Bros. Pictures', ' Heyday Films', ' Other']"
423108,"['New Line Cinema', ' Other', ' Other', ' Warner Bros. Pictures']"
354912,"['Other', ' Walt Disney Pictures']"
602223,"['Other', ' Other', ' Universal Pictures', ' Other', ' Other']"
317442,['Other']
632357,"['Other', ' Other', ' Sony Pictures', ' Other']"
672,"['Warner Bros. Pictures', ' Heyday Films', ' Other']"
299534,['Marvel Studios']
674,"['Warner Bros. Pictures', ' Heyday Films', ' Other']"
458576,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Sony Pictures']"
520763,"['Other', ' Other', ' Other', ' Other']"
24428,['Marvel Studios']
12444,"['Warner Bros. Pictures', ' Heyday Films']"
634528,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
587807,"['Other', ' Other', ' Other']"
12445,"['Warner Bros. Pictures', ' Heyday Films']"
673,"['Warner Bros. Pictures', ' Other', ' Heyday Films', ' Other']"
644495,"['Other', ' Metro-Goldwyn-Mayer', ' Other']"
767,"['Warner Bros. Pictures', ' Heyday Films']"
619778,"['Warner Bros. Pictures', ' New Line Cinema', ' Other', ' Other', ' Other', ' Other']"
8960,"['Other', ' Columbia Pictures', ' Other', ' Other', ' Other', ' Other', ' Other', ' Sony Pictures']"
505262,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
508442,"['Walt Disney Pictures', ' Other']"
637693,"['Universal Pictures', ' Other']"
522478,"['Columbia Pictures', ' Other', ' Sony Pictures']"
324786,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
675,"['Warner Bros. Pictures', ' Heyday Films']"
303857,"['Other', ' Other', ' Other']"
565028,"['Metro-Goldwyn-Mayer', ' Other', ' Other', ' Universal Pictures', ' Other']"
400160,"['Other', ' Other', ' Other', ' Other', ' Other', ' Other']"
72545,"['Other', ' New Line Cinema', ' Other']"
15092,"['Other', ' Other', ' Other']"
