adult,backdrop_path,genre_ids,movie_id,original_language,original_title,overview,popular,poster_path,upcoming,title,video,vote_average,vote_count
False,/cinER0ESG0eJ49kXlExM0MEWGxW.jpg,"[28, 12, 14]",566525,en,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,8304.971,/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg,2021-09-01,Shang-Chi and the Legend of the Ten Rings,False,7.9,3094
False,/70nxSw3mFBsGmtkvcs91PbjerwD.jpg,"[878, 28, 12]",580489,en,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",4128.057,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg,2021-09-30,Venom: Let There Be Carnage,False,6.8,1987
False,/zBkHCpLmHjW2uVURs5uZkaVmgKR.jpg,"[16, 35, 10751]",585245,en,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",3260.135,/30ULVKdjBcQTsj2aOSThXXZNSxF.jpg,2021-11-10,Clifford the Big Red Dog,False,7.9,138
False,/eeijXm3553xvuFbkPFkDG6CLCbQ.jpg,"[878, 12]",438631,en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",1644.556,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,2021-09-15,Dune,False,8.0,4042
False,/8Y43POKjjKDGI9MH89NW0NAzzp8.jpg,"[35, 28, 12, 878]",550988,en,Free Guy,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,1422.561,/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,2021-08-11,Free Guy,False,7.8,3710
False,/hugKriLPeBm3lErSCQiFOgQzpkC.jpg,"[28, 53, 80]",574060,en,Gunpowder Milkshake,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",845.071,/5AaKulwpUtkscAokKWtLenGTfVS.jpg,2021-07-14,Gunpowder Milkshake,False,6.5,375
False,/c2cb0lLvbzvHlSUo35W8CfP0kYO.jpg,[53],714968,en,Plan A,"Germany 1945, Max, a Jewish Holocaust survivor, meets a radical group of Jewish resistance fighters, who, like him, lost all hope for their future after they were robbed of their existence and their entire families were killed by the Nazis. They dream of retaliation on an epic scale for the Jewish people. An eye for an eye, a tooth for a tooth. Max starts identifying with the group's monstrous plans...",800.261,/dfYOmisdbiVTXdcQji35pKywPFI.jpg,2021-08-16,Plan A,False,3.9,7
False,/7WJjFviFBffEJvkAms4uWwbcVUk.jpg,"[12, 14, 35, 28]",451048,en,Jungle Cruise,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",672.641,/9dKCd55IuTT5QRs989m9Qlb7d2B.jpg,2021-07-28,Jungle Cruise,False,7.7,3306
False,/jlGmlFOcfo8n5tURmhC7YVd4Iyy.jpg,"[28, 12, 14, 35]",436969,en,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",655.649,/kb4s0ML0iVZlG6wAKbbs9NAm6X.jpg,2021-07-28,The Suicide Squad,False,7.8,4795
False,/5i3ghCXVLNhewrBjTesMgy4FHT7.jpg,"[12, 16, 35, 10751, 14, 10402]",568124,en,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",597.675,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,2021-11-24,Encanto,False,6.0,2
